	Rora cKO-Skin-MC-Treg-Replicate1	Rora cKO-Skin-MC-Treg-Replicate2	Rora cKO-Skin-MC-Treg-Replicate3	Rora cKO-Skin-Treg-Replicate1	Rora cKO-Skin-Treg-Replicate2	Rora cKO-Skin-Treg-Replicate3	WT-LN-Treg-Replicate1	WT-LN-Treg-Replicate2	WT-LN-Treg-Replicate3	WT-Skin-MC-Treg-Replicate1	WT-Skin-MC-Treg-Replicate2	WT-Skin-MC-Treg-Replicate3	WT-Skin-Treg-Replicate1	WT-Skin-Treg-Replicate2	WT-Skin-Treg-Replicate3
0610005C13Rik	0	0	3	0	0	0	1	6	2	0	0	0	4	2	1
0610007P14Rik	1238	1160	1133	1251	764	790	2240	2737	2720	1321	2025	1385	692	939	573
0610009B22Rik	193	269	253	138	93	88	367	380	348	354	402	308	54	108	132
0610009L18Rik	64	43	63	25	42	31	88	150	72	55	32	39	22	40	16
0610009O20Rik	115	144	135	137	189	230	594	577	532	186	151	143	199	153	109
0610010B08Rik	0	5	0	2	2	0	1	2	1	0	0	0	1	1	2
0610010F05Rik	151	115	266	293	197	174	95	84	139	335	286	104	150	167	118
0610010K14Rik	1172	778	914	1124	720	770	3058	3714	2866	955	1010	1004	704	1095	686
0610011F06Rik	670	742	667	509	349	402	1364	1806	1323	808	915	805	339	642	368
0610012G03Rik	675	771	620	790	748	583	1272	1403	858	837	986	695	546	938	568
0610030E20Rik	580	548	521	544	646	598	1311	1433	1318	867	690	618	483	488	465
0610031J06Rik	4072	3213	3776	3057	3002	3403	5625	6298	3470	4084	3771	4505	4460	3255	2334
0610031O16Rik	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0
0610037L13Rik	586	333	368	405	371	364	1310	1590	1166	478	610	418	325	446	333
0610038B21Rik	3	0	2	5	15	24	6	3	8	2	1	2	1	12	8
0610039K10Rik	2	1	0	4	2	6	2	0	9	12	1	7	9	1	0
0610040B10Rik	0	0	11	6	3	2	12	17	18	11	1	1	4	0	0
0610040F04Rik	3	0	3	13	0	0	0	0	0	1	0	1	0	0	0
0610040J01Rik	0	0	5	8	0	4	0	0	4	0	0	1	0	0	0
0610043K17Rik	0	0	0	0	0	0	11	12	4	0	0	0	0	0	0
1010001N08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1100001G20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110001J03Rik	240	229	354	344	185	236	635	687	477	241	361	282	155	327	188
1110002L01Rik	25	55	37	32	32	41	133	147	96	70	62	47	11	19	19
1110004E09Rik	458	383	332	356	324	381	1027	1205	1017	439	619	390	263	385	270
1110004F10Rik	2946	2539	2468	2698	1943	2292	4931	6089	5019	3327	3145	3430	1891	2694	2334
1110006O24Rik	34	36	47	13	42	32	57	61	52	34	54	35	13	29	22
1110007C09Rik	1928	1856	1913	2319	1825	2294	813	886	677	2103	2322	2117	1836	2760	1688
1110008F13Rik	1734	1529	1564	2039	1660	1962	1319	1416	1221	2021	1997	1802	1733	2219	1629
1110008L16Rik	109	68	120	55	143	159	278	297	323	181	69	96	75	84	86
1110008P14Rik	1074	985	1107	984	722	634	1359	1451	1366	964	1201	1157	813	1167	780
1110012L19Rik	639	817	644	641	526	397	797	1077	752	671	787	922	525	593	503
1110015O18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	3	1	0	1	0	1	0	0	0	0	4	3	3	0	0
1110019D14Rik	10	3	22	23	23	2	79	72	77	17	16	22	8	7	9
1110020A21Rik	11	39	16	26	20	27	29	72	38	21	25	33	35	41	12
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
1110028F11Rik	11	12	16	3	33	4	14	2	10	18	12	18	11	14	6
1110028F18Rik	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	73	73	67	71	61	98	206	203	186	72	117	111	63	171	79
1110032F04Rik	100	250	283	100	180	171	775	787	710	216	209	139	94	61	126
1110034G24Rik	89	40	59	54	19	90	578	903	504	204	58	74	61	31	57
1110036E04Rik	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1110037F02Rik	1112	837	790	892	868	888	1628	1605	2287	1155	1160	1343	964	457	724
1110038B12Rik	114	131	99	156	103	76	199	160	168	150	229	132	83	175	84
1110038F14Rik	724	641	710	787	595	837	1594	1898	1415	1202	975	796	705	1085	754
1110046J04Rik	7	0	3	18	5	2	13	17	8	0	10	4	7	10	11
1110051M20Rik	132	85	77	107	76	121	398	432	375	128	42	98	107	139	72
1110054M08Rik	54	78	31	27	35	21	171	193	114	26	32	41	11	31	21
1110057K04Rik	1066	854	729	1100	886	658	2622	3143	2386	1138	1082	1043	764	799	723
1110058L19Rik	456	274	283	255	189	228	908	1181	825	349	392	376	145	230	179
1110059E24Rik	1110	1266	1210	1031	649	1091	1087	1233	1261	1476	1302	1559	755	669	547
1110059G10Rik	610	522	427	509	355	686	728	868	651	719	633	577	367	617	496
1110065P20Rik	126	149	161	187	162	237	113	144	139	210	255	106	151	211	127
1190002F15Rik	660	599	413	544	249	348	311	389	504	424	531	396	241	322	237
1190002N15Rik	269	196	368	570	1739	830	145	108	97	213	774	202	379	767	309
1190003K10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1190005I06Rik	9	2	11	7	9	18	19	12	19	19	16	11	5	9	15
1190007I07Rik	95	94	96	99	49	58	518	643	460	148	159	105	61	62	44
1200014J11Rik	1040	1230	1012	852	1175	1008	1602	1904	1911	1523	1497	1498	981	799	738
1300002E11Rik	325	289	233	287	320	281	742	915	720	313	323	315	214	213	233
1300002K09Rik	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
1300017J02Rik	0	0	5	0	0	0	5	1	4	0	0	0	0	0	0
1500004A13Rik	51	29	40	17	30	13	95	56	120	41	35	54	19	28	28
1500009C09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500009L16Rik	756	605	570	435	252	369	87	96	216	841	840	556	305	370	390
1500011B03Rik	732	976	919	629	502	471	741	950	644	1151	1206	1022	303	523	338
1500011K16Rik	109	109	106	139	78	96	602	819	538	77	95	94	59	101	76
1500012F01Rik	755	1131	785	725	666	847	655	772	626	1183	1235	795	747	770	665
1500012K07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500015A07Rik	97	121	65	47	76	146	155	176	114	160	166	89	62	6	82
1500015L24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500015O10Rik	7	9	136	11	1	1	1	0	0	2	0	15	10	0	12
1500017E21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600002D24Rik	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1600002H07Rik	48	13	38	13	57	49	112	150	134	13	38	44	35	78	15
1600002K03Rik	259	218	258	211	161	147	474	481	387	259	265	239	157	217	201
1600010M07Rik	0	0	3	1	2	0	4	5	14	1	0	0	0	0	4
1600012H06Rik	1326	1067	1241	1138	870	1457	1054	1158	886	1555	1638	1403	1181	1087	1025
1600014C10Rik	1602	1661	1809	954	1262	994	5646	6943	4214	2037	2159	1586	851	589	892
1600014C23Rik	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
1600014K23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600015I10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600016N20Rik	99	107	112	126	168	202	122	117	272	206	95	135	196	236	113
1600019K03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600020E01Rik	566	560	517	653	412	623	446	502	348	964	851	609	416	712	350
1600023N17Rik	16	25	10	0	0	15	20	23	5	12	15	5	8	18	10
1600025M17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600027J07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600029I14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600029O15Rik	2	3	2	3	1	4	3	6	6	7	0	4	2	3	5
1700001C02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001C19Rik	0	0	6	0	1	0	0	0	3	0	0	0	0	1	0
1700001D01Rik	10	3	5	11	20	12	0	1	3	18	9	11	22	27	45
1700001F09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001G11Rik	0	3	7	0	0	5	54	34	26	0	0	0	0	7	0
1700001G17Rik	5	9	7	12	0	4	9	15	17	18	8	3	6	35	13
1700001J03Rik	0	3	0	0	0	0	1	0	5	0	0	2	0	0	1
1700001J11Rik	1	0	0	0	0	0	6	6	2	0	0	0	0	0	0
1700001K19Rik	0	1	0	7	3	5	2	0	1	3	5	3	2	4	0
1700001K23Rik	2	2	6	12	2	7	0	0	2	2	7	4	3	17	11
1700001L05Rik	6	11	21	3	17	35	17	8	25	2	42	9	4	31	14
1700001L19Rik	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1700001O22Rik	19	32	12	25	35	45	33	27	82	7	37	33	53	20	47
1700001P01Rik	2	0	4	0	0	1	2	0	1	2	2	4	1	0	0
1700003C15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003D09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003E16Rik	0	0	0	1	0	0	0	0	2	3	0	0	0	0	0
1700003E24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003F12Rik	0	3	0	0	0	0	0	1	2	8	5	1	0	1	4
1700003G13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003G18Rik	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
1700003H04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003L19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003M02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003M07Rik	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1700003P14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006F04Rik	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1700006H21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1700007B14Rik	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0
1700007F19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007G11Rik	0	0	0	0	0	0	1	0	1	2	0	0	2	0	2
1700007J10Rik	13	8	6	9	13	18	9	14	16	9	16	12	14	6	17
1700007K09Rik	0	0	0	0	0	0	0	0	2	0	3	0	0	6	0
1700007K13Rik	0	0	7	0	0	0	1	1	1	0	0	1	0	0	0
1700007L15Rik	64	26	33	15	38	20	166	238	147	51	27	46	19	9	5
1700007P06Rik	0	0	1	2	1	0	1	0	1	0	1	1	0	0	1
1700008F21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008I05Rik	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0
1700008J07Rik	41	72	76	112	123	101	118	85	138	129	102	80	96	67	72
1700008K24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008O03Rik	0	0	5	0	0	1	7	1	4	0	0	0	0	0	1
1700008P02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700009C05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700009J07Rik	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1700009N14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700009P17Rik	12	4	0	22	9	3	10	38	9	1	2	19	0	0	1
1700010B08Rik	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
1700010D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010I02Rik	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1700010I14Rik	63	33	72	77	46	43	125	143	152	30	76	69	28	17	19
1700010J16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010K23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011A15Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1700011B04Rik	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1700011E24Rik	0	2	1	0	6	4	0	0	0	0	0	2	3	8	0
1700011H14Rik	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
1700011I03Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1700011L22Rik	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
1700011M02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012B07Rik	19	36	38	25	3	4	4	2	11	77	59	58	2	1	0
1700012B09Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012D01Rik	16	14	12	9	1	14	41	26	21	6	16	16	7	18	19
1700012D14Rik	3	1	2	6	6	6	21	27	22	2	3	3	11	0	8
1700012I11Rik	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1700012L04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012P22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013F07Rik	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
1700013G24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700015E13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700015F17Rik	0	0	1	0	3	0	0	0	0	13	0	0	5	0	0
1700015G11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016C15Rik	0	0	5	3	2	6	1	0	0	2	3	3	2	0	2
1700016D06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016G22Rik	0	0	0	0	5	0	0	0	0	0	0	0	0	13	3
1700016H13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016K19Rik	0	0	2	0	0	0	8	7	9	16	5	0	0	0	0
1700016L04Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1700016L21Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1700016P04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017B05Rik	2531	2759	2704	2323	4032	4080	1001	1349	1622	2329	2354	2563	3082	2404	2946
1700017D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017G19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017J07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017N19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018A04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018B08Rik	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
1700018B24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018C11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018G05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018L02Rik	4	0	1	2	2	2	5	4	3	7	3	1	11	1	1
1700019A02Rik	0	0	0	0	0	0	0	1	3	0	0	0	0	3	0
1700019B03Rik	0	5	0	0	0	0	4	0	0	2	11	3	3	0	2
1700019B21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019D03Rik	0	0	14	15	4	0	89	121	139	8	3	6	0	0	0
1700019E08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019G17Rik	23	10	19	65	26	19	156	276	224	53	32	31	13	15	28
1700019G24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019L03Rik	2	4	1	9	3	13	3	2	4	3	14	5	4	1	2
1700019M22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019N19Rik	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
1700019O17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020A23Rik	0	0	1	1	0	0	0	0	2	2	5	0	1	0	0
1700020D05Rik	0	0	2	1	0	7	0	3	2	0	0	1	0	2	0
1700020G17Rik	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1700020I14Rik	2098	2422	2258	2127	1921	2091	1561	1797	1683	2595	2396	2725	2027	1910	1387
1700020L24Rik	18	15	24	13	25	0	41	34	21	30	15	25	10	21	4
1700020M21Rik	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2
1700020N01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020N15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020N18Rik	0	0	5	0	0	0	17	4	1	0	0	1	0	0	0
1700021F05Rik	144	90	156	211	92	102	571	702	576	182	145	184	92	152	96
1700021F07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700021K19Rik	173	179	194	153	309	343	381	470	841	195	239	277	254	238	178
1700021N21Rik	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022A22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022E09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022H16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022I11Rik	6	0	0	1	0	0	0	0	0	3	4	1	0	0	0
1700023C21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700023E05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
1700023F02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700023F06Rik	0	0	1	5	3	0	0	0	0	0	0	1	0	0	0
1700023L04Rik	13	12	5	15	0	25	1	1	6	2	5	6	0	12	0
1700024B18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024F13Rik	8	12	5	2	1	2	2	4	13	11	4	4	5	0	0
1700024G13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024P04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024P16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025B11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025F22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025F24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025G04Rik	36	36	103	60	51	67	472	549	313	91	77	88	14	0	63
1700025K24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025M24Rik	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1700025N23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700026D08Rik	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1700026D11Rik	1	1	7	3	0	0	1	1	0	0	0	0	1	2	2
1700026F02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700026L06Rik	6	8	1	15	8	0	1	1	4	15	0	2	4	0	0
1700027A15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700027F09Rik	0	0	0	0	0	0	4	5	5	0	0	1	0	0	0
1700027H10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700027I24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700027J07Rik	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1700028B04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028D13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028E10Rik	20	18	11	11	12	7	62	87	75	3	8	17	6	5	9
1700028I16Rik	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0
1700028J19Rik	4	13	20	24	5	25	23	28	27	15	45	9	12	0	22
1700028K03Rik	0	0	0	1	0	18	4	3	9	0	2	3	0	3	2
1700028M03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028P14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028P15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029B22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029F12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029H14Rik	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0
1700029I15Rik	18	15	11	19	18	14	10	6	11	15	11	15	14	20	7
1700029J03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029J07Rik	3	0	0	8	0	4	77	56	57	16	50	24	3	43	13
1700029M20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029N11Rik	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
1700029P11Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1700030A11Rik	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
1700030C10Rik	55	61	36	71	14	56	36	66	108	95	161	74	49	137	136
1700030F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030F18Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1700030J22Rik	26	41	39	17	4	46	11	7	14	74	63	39	21	63	7
1700030K09Rik	16	27	6	17	8	14	224	340	344	46	32	15	3	26	20
1700030L20Rik	16	18	8	13	15	18	10	19	20	17	16	12	13	18	14
1700030M09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
1700030N03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030O20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700031A10Rik	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
1700031F05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700031P21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034F02Rik	10	17	6	0	5	11	26	35	36	14	9	11	10	0	0
1700034G24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034H15Rik	0	5	1	1	2	0	3	2	4	0	2	3	0	0	0
1700034I23Rik	0	0	0	0	0	0	3	5	3	0	0	1	0	0	2
1700034J05Rik	3	3	0	1	0	0	0	0	0	0	0	2	0	0	0
1700034K08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034O15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034P13Rik	3	6	0	0	0	0	0	0	2	1	0	1	3	0	0
1700036G14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700037C18Rik	76	66	53	38	40	46	225	238	202	66	56	74	49	20	37
1700037H04Rik	538	534	396	674	409	488	901	1076	894	495	693	557	459	415	332
1700039E15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700039E22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700040L02Rik	53	23	32	18	35	19	66	70	80	22	47	46	14	24	13
1700041C23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700041M19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700042B14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700042G07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700042G15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700042O10Rik	1	0	0	0	0	0	15	23	16	0	0	1	0	0	0
1700044C05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700044K03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700045H11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700046C09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700047A11Rik	1	0	0	0	0	2	1	0	1	0	0	0	1	1	0
1700047E10Rik	2	2	0	3	1	2	1	0	1	1	1	1	4	3	1
1700047G03Rik	3	0	3	1	7	8	3	0	0	0	0	1	1	2	2
1700047I17Rik2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700047L14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700047M11Rik	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
1700048M11Rik	2	1	2	2	2	1	1	4	6	1	0	3	4	0	1
1700048O20Rik	25	8	20	22	22	10	21	42	48	18	37	13	35	37	4
1700049E15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700049E22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700049G17Rik	20	3	12	7	10	8	87	115	154	17	1	13	3	25	0
1700049L16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700051A21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700052I22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700052K11Rik	105	71	80	45	33	49	333	321	192	135	115	89	119	5	28
1700052N19Rik	382	543	274	313	229	248	757	976	819	451	475	477	193	176	125
1700054A03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700054K19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700054M17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700054O13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700055C04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700055N04Rik	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1700056E22Rik	28	38	40	19	48	41	39	29	34	54	30	39	24	46	15
1700057G04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700057H15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700060C16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700060C20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700061F12Rik	20	13	12	37	14	22	6	6	24	0	0	1	12	13	0
1700061G19Rik	4	2	5	0	2	6	6	0	0	3	5	5	2	1	6
1700061I17Rik	1	0	0	0	0	0	1	0	0	0	3	0	0	0	4
1700063A18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700063D05Rik	14	16	10	23	8	12	5	1	13	29	22	14	9	20	29
1700063O14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700064J06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700064M15Rik	2	8	2	0	0	7	2	2	5	6	3	2	1	2	0
1700065D16Rik	2	1	0	3	0	1	0	1	1	1	0	0	3	0	1
1700065I16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700065J11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700065J18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700065L07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700065O20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700066B17Rik	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1700066B19Rik	13	4	19	5	5	44	107	118	140	33	18	19	2	18	6
1700066M21Rik	191	184	168	211	204	183	198	229	314	334	231	236	134	108	177
1700066N21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700066O22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
